Regimen,Codigo_Empresa,Empresa,Fecha_Alta,Fecha_Efecto_Alta,Fecha_Baja,C.T.,CTP_%,G.C.,Dias,Fecha_Alta_dt
GENERAL,33108235212,SERVICIO DE SALUD DEL PRINCIPADO,17.12.2024,17.12.2024,---,---,---,07,181,2024-12-17
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,18.03.2024,18.03.2024,20.03.2024,---,---,--,3,2024-03-18
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,17.02.2024,17.02.2024,20.02.2024,---,---,--,4,2024-02-17
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,01.12.2018,01.12.2018,08.12.2018,---,---,--,8,2018-12-01
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,29.08.2018,29.08.2018,10.09.2018,---,---,--,13,2018-08-29
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,01.04.2018,01.04.2018,08.04.2018,---,---,--,8,2018-04-01
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,30.12.2017,30.12.2017,04.01.2018,---,---,--,6,2017-12-30
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,24.10.2017,24.10.2017,25.10.2017,---,---,--,2,2017-10-24
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,05.10.2017,05.10.2017,15.10.2017,---,---,--,11,2017-10-05
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,01.04.2017,01.04.2017,03.04.2017,---,---,--,3,2017-04-01
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,02.03.2017,02.03.2017,03.03.2017,---,---,--,2,2017-03-02
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,07.02.2017,07.02.2017,08.02.2017,---,---,--,2,2017-02-07
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,06.01.2017,06.01.2017,06.01.2017,---,---,--,1,2017-01-06
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,01.01.2017,01.01.2017,06.01.2017,---,---,--,6,2017-01-01
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,26.10.2016,26.10.2016,27.10.2016,---,---,--,2,2016-10-26
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,01.10.2016,01.10.2016,03.10.2016,---,---,--,3,2016-10-01
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,03.09.2016,03.09.2016,21.09.2016,---,---,--,19,2016-09-03
GENERAL,33109408407,VACACIONES RETRIBUIDAS Y NO,20.01.2016,20.01.2016,20.01.2016,---,---,--,1,2016-01-20
